x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.7395462,0.002456414,9.281899,23.54308814,87.29041566,78.66329193,4.288,1957,2098456
-1.9072816,-0.5584671,9.44293,23.54308814,87.29041566,78.66329193,4.288,1957,2098463
-1.5893492,-0.86177814,9.31064,23.54308814,87.29041566,78.66329193,4.288,1957,2098492
-1.6054761,0.15415479,9.647454,23.54308814,87.29041566,78.66329193,4.288,1957,2098500
-1.5238312,0.44940406,9.31027,23.54308814,87.29041566,78.66329193,4.288,1957,2098532
-2.0337954,-1.041865,9.446736,23.54308814,87.29041566,78.66329193,4.288,1957,2098551
-1.7868673,-1.3018464,9.592759,23.54308814,87.29041566,78.66329193,4.288,1957,2098572
-1.6199317,0.87688994,9.320668,23.54308814,87.29041566,78.66329193,4.288,1957,2098587
-1.1008502,0.054299295,9.292137,23.54308814,87.29041559,78.66329193,4.288,1957,2098608
-2.350868,-1.0561969,9.727999,23.54308814,87.29041559,78.66329193,4.288,1957,2098648
-1.8650836,-1.3166474,9.316612,23.54308814,87.29041559,78.66329193,4.288,1957,2098667
-1.7712333,1.2613097,9.420549,23.54308814,87.29041559,78.66329193,4.288,1957,2098683
-1.473107,-0.26292336,9.37377,23.54308814,87.29041559,78.66329193,4.288,1957,2098694
-2.2726552,-0.9314741,9.90478,23.54308814,87.29041559,78.66329193,4.288,1957,2098722
-1.6604024,-0.68816733,9.101501,23.54308814,87.29041559,78.66329193,4.288,1957,2098731
-1.9281749,1.0406785,9.130794,23.54308814,87.29041559,78.66329193,4.288,1957,2098762
-1.585244,-0.7081142,9.876615,23.54308814,87.29041559,78.66329193,4.288,1957,2098786
-2.0363142,-0.6853873,9.564596,23.54308814,87.29041559,78.66329193,4.288,1957,2098801
-1.5972041,-0.44892725,8.772153,23.54308814,87.29041559,78.66329193,4.288,1957,2098810
-2.2316918,1.0385464,9.437154,23.54308814,87.29041559,78.66329193,4.288,1957,2098837
-1.4928101,-0.75719076,9.962582,23.54308814,87.29041559,78.66329193,4.288,1957,2098847
-1.8581079,-0.63942605,9.426249,23.54308814,87.29041559,78.66329193,4.288,1957,2098876
-1.3147352,-0.10512592,8.3974285,23.54308814,87.29041559,78.66329193,4.288,1957,2098895
-2.0536351,0.3022643,9.985295,23.54308814,87.29041559,78.66329193,4.288,1957,2098914
-1.4065661,-0.7871174,9.750438,23.54308814,87.29041559,78.66329193,4.288,1957,2098922
-1.8165799,-0.69238937,9.521922,23.54308814,87.29041559,78.66329193,4.288,1957,2098953
-1.3767886,-0.16089678,8.759595,23.54308814,87.29041559,78.66329193,4.288,1957,2098970
-1.7907113,0.71812683,9.635819,23.54308814,87.29041559,78.66329193,4.288,1957,2098992
-1.8112354,-1.243752,9.819664,23.54308814,87.29041559,78.66329193,4.288,1957,2099008
-1.6422572,-0.39798844,9.214304,23.54308814,87.29041559,78.66329193,4.288,1957,2099031
-1.328841,1.229783,9.030332,23.54308814,87.29041559,78.66329193,4.288,1957,2099039
-1.8540214,-1.6373936,9.949056,23.54308814,87.29041559,78.66329193,4.288,1957,2099068
-1.822735,-0.2593555,9.322951,23.54308814,87.29041559,78.66329193,4.288,1957,2099089
-1.822735,-0.2593555,9.322951,23.54308814,87.29041559,78.66329193,4.288,1940,2099104
-1.6576563,-0.34204814,9.242745,23.54308814,87.29041559,78.66329193,4.288,1940,2099118
-1.0427445,0.6116981,9.01556,23.54308814,87.29041559,78.66329193,4.288,1940,2099148
-2.0446823,-0.21984929,10.127664,23.54308814,87.29041559,78.66329193,4.288,1940,2099166
-1.818529,-0.54526305,9.004925,23.54308814,87.29041559,78.66329193,4.288,1940,2099186
-1.5399488,-0.4437689,9.147752,23.54308814,87.29041559,78.66329193,4.288,1940,2099193
-1.7119685,-0.17159995,9.781598,23.54308814,87.29041559,78.66329193,4.288,1940,2099221
-1.4921863,0.5390749,9.0696,23.54308814,87.29041559,78.66329193,4.288,1940,2099238
-1.9464792,-1.0058213,9.6373415,23.54308814,87.29041559,78.66329193,4.288,1940,2099260
-1.5608767,-0.748658,8.975319,23.54308814,87.29041559,78.66329193,4.288,1940,2099273
-1.6368203,0.3063503,9.728963,23.54308814,87.29041559,78.66329193,4.288,1940,2099298
-1.3927492,0.45191932,9.376157,23.54308814,87.29041559,78.66329193,4.288,1940,2099308
-1.9714721,-0.6078918,9.498485,23.54308814,87.29041559,78.66329193,4.288,1940,2099337
-1.6779344,-1.8956972,9.420187,23.54308814,87.29041559,78.66329193,4.288,1940,2099355
-1.7960873,1.1414162,9.505625,23.54308814,87.29041559,78.66329193,4.288,1940,2099376
-1.311127,-0.004780025,9.087612,23.54308814,87.29041559,78.66329193,4.288,1940,2099385
-2.1051624,-0.5842839,9.783101,23.54308814,87.29041559,78.66329193,4.288,1940,2099413
-1.5470037,-0.8722048,8.711596,23.54308814,87.29041559,78.66329193,4.288,1940,2099434
-2.0391052,0.5964185,10.097527,23.54308814,87.29041559,78.66329193,4.288,1940,2099452
-1.4852918,-0.24647522,9.192288,23.54308814,87.29041559,78.66329193,4.288,1940,2099463
-2.0006025,-0.55774343,9.619013,23.54308814,87.29041559,78.66329193,4.288,1940,2099490
-1.2466145,0.12171545,8.572866,23.54308814,87.29041559,78.66329193,4.288,1940,2099499
-1.9035081,-0.22128916,9.917508,23.54308814,87.29041559,78.66329193,4.288,1940,2099528
-1.7337438,-0.591016,9.382106,23.54308814,87.29041559,78.66329193,4.288,1940,2099547
-1.6840931,-0.9678793,9.668953,23.54308814,87.29041559,78.66329193,4.288,1940,2099567
-1.192525,0.8500194,8.8000765,23.54308814,87.29041559,78.66329193,4.288,1940,2099576
-1.841918,-0.06084336,9.443216,23.54308814,87.29041559,78.66329193,4.288,1940,2099605
