,Unnamed: 0,x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,Unnamed: 9,y1,z1
1919,1919,8.247688,2.6261618,33.923332,23.55658652,87.30876065,-86.8663101196289,3.216,0,30613082,0,0.14256874385089394,9.910757004293082
1920,1920,-4.795996700000001,-15.725265,-8.1370945,23.55658652,87.30876065,-86.8663101196289,3.216,0,30613103,0,-0.35134502011213803,9.348986417845786
1921,1921,-6.320028,7.0714087,-3.6551042,23.55658652,87.30876065,-86.8663101196289,3.216,0,30613117,0,-0.12029897513502127,8.944211610669251
1922,1922,0.87084305,3.5694597000000003,21.739021,23.55658652,87.30876065,-86.8663101196289,3.216,0,30613141,0,-0.005448856034333441,9.342472177718793
1923,1923,4.150666,14.872559,24.467802,23.55658652,87.30876065,-86.8663101196289,3.216,0,30613179,0,0.4576548655617634,9.8132742231839
1924,1924,-1.2826465,-3.0352893,1.047754,23.55658652,87.30876065,-86.8663101196289,3.216,0,30613194,0,0.3489309384035351,9.540432248884503
1925,1925,-0.6980154000000001,-8.153336,3.0650162999999995,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613224,0,0.08428317781096645,9.338873730174967
1926,1926,0.93090767,8.71825,17.547117,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613234,0,0.3530303250220265,9.594369495656789
1927,1927,2.1422422,2.3791450000000003,14.356544,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613256,0,0.4160966478417314,9.742600411864897
1928,1928,-0.6615298000000001,-3.8294246,2.289066,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613265,0,0.2839474576399411,9.51059626463095
1929,1929,-1.2248282,0.12308702,8.774445,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613296,0,0.2789403983582497,9.487682283565263
1930,1930,1.0042205,4.9695606,13.440319,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613313,0,0.4249440631629496,9.610714936270572
1931,1931,1.4963481,0.23841618,6.4253845,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613334,0,0.4191380602551633,9.511566018362727
1932,1932,0.067486495,-1.4111867,5.728578,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613351,0,0.36216603709146655,9.393813974741734
1933,1933,-1.1487326999999998,3.5098553,17.513285,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613371,0,0.4601433083892357,9.6465465506063
1934,1934,3.3989835,3.1908944,18.42282,23.55658364,87.30873706,-97.5440292358399,3.216,0,30613378,0,0.5451426581351517,9.919723237665973
